species;order;family;temperature;int_rate;int_rate_se;sample_size;reference;doi;observations_i;observations_ii;feed_guild;source_dataset;lat;lon;body_length_mm;type_length;source_length
Amitus fuscipennis;Hymenoptera;Platygastridae;15;0.079;;;devis2002;10.1046/j.1439-0418.2002.00591.x;cylinders 3 days leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;20;0.162;;;devis2002;10.1046/j.1439-0418.2002.00591.x;cylinders 3 days leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;25;0.208;;;devis2002;10.1046/j.1439-0418.2002.00591.x;cylinders 3 days leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;30;0.134;;;devis2002;10.1046/j.1439-0418.2002.00591.x;cylinders 3 days leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;15;0.09;;;devis2002;10.1046/j.1439-0418.2002.00591.x;cylinders 1 day leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;20;0.176;;;devis2002;10.1046/j.1439-0418.2002.00591.x;cylinders 1 day leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;25;0.233;;;devis2002;10.1046/j.1439-0418.2002.00591.x;cylinders 1 day leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;30;0.159;;;devis2002;10.1046/j.1439-0418.2002.00591.x;cylinders 1 day leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Trialeurodes vaporariorum;Hemiptera;Aleyrodidae;15;0.06;;;devis2002;10.1046/j.1439-0418.2002.00591.x;refers to roermun1995;;sucker;frazier2006;4.885789081;-74.01337546;2;;https://link.springer.com/referenceworkentry/10.1007/978-1-4020-6359-6_1185
Trialeurodes vaporariorum;Hemiptera;Aleyrodidae;20;0.091;;;devis2002;10.1046/j.1439-0418.2002.00591.x;refers to roermun1995;;sucker;frazier2006;4.885789081;-74.01337546;2;;https://link.springer.com/referenceworkentry/10.1007/978-1-4020-6359-6_1185
Trialeurodes vaporariorum;Hemiptera;Aleyrodidae;25;0.123;;;devis2002;10.1046/j.1439-0418.2002.00591.x;refers to roermun1995;;sucker;frazier2006;4.885789081;-74.01337546;2;;https://link.springer.com/referenceworkentry/10.1007/978-1-4020-6359-6_1185
Trialeurodes vaporariorum;Hemiptera;Aleyrodidae;30;0.154;;;devis2002;10.1046/j.1439-0418.2002.00591.x;refers to roermun1995;;sucker;frazier2006;4.885789081;-74.01337546;2;;https://link.springer.com/referenceworkentry/10.1007/978-1-4020-6359-6_1185
Encarsia formosa;Hymenoptera;Aphelinidae;15;0.085;;;devis2002;10.1046/j.1439-0418.2002.00591.x;refers to roermun1995;;parasitoid;frazier2006;4.885789081;-74.01337546;0.6;female;Wikipedia
Encarsia formosa;Hymenoptera;Aphelinidae;20;0.149;;;devis2002;10.1046/j.1439-0418.2002.00591.x;refers to roermun1995;;parasitoid;frazier2006;4.885789081;-74.01337546;0.6;female;Wikipedia
Encarsia formosa;Hymenoptera;Aphelinidae;25;0.213;;;devis2002;10.1046/j.1439-0418.2002.00591.x;refers to roermun1995;;parasitoid;frazier2006;4.885789081;-74.01337546;0.6;female;Wikipedia
Encarsia formosa;Hymenoptera;Aphelinidae;30;0.277;;;devis2002;10.1046/j.1439-0418.2002.00591.x;refers to roermun1995;;parasitoid;frazier2006;4.885789081;-74.01337546;0.6;female;Wikipedia
Brevicoryne brassicae;Hemiptera;Aphididae;10;0.042;;;deloach1974;10.1093/aesa/67.3.332;;;sucker;frazier2006;38.93294131;-92.34060252;2.8;apterous;INRAE
Brevicoryne brassicae;Hemiptera;Aphididae;15;0.088;;;deloach1974;10.1093/aesa/67.3.333;;;sucker;frazier2006;38.93294131;-92.34060252;2.8;apterous;INRAE
Brevicoryne brassicae;Hemiptera;Aphididae;20;0.134;;;deloach1974;10.1093/aesa/67.3.334;;;sucker;frazier2006;38.93294131;-92.34060252;2.8;apterous;INRAE
Brevicoryne brassicae;Hemiptera;Aphididae;25;0.098;;;deloach1974;10.1093/aesa/67.3.335;;;sucker;frazier2006;38.93294131;-92.34060252;2.8;apterous;INRAE
Brevicoryne brassicae;Hemiptera;Aphididae;30;-0.203;;;deloach1974;10.1093/aesa/67.3.336;;;sucker;frazier2006;38.93294131;-92.34060252;2.8;apterous;INRAE
Myzus persicae;Hemiptera;Aphididae;5;0.007;;;deloach1974;10.1093/aesa/67.3.337;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous females;CABI
Myzus persicae;Hemiptera;Aphididae;10;0.074;;;deloach1974;10.1093/aesa/67.3.338;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous females;CABI
Myzus persicae;Hemiptera;Aphididae;15;0.167;;;deloach1974;10.1093/aesa/67.3.339;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous females;CABI
Myzus persicae;Hemiptera;Aphididae;20;0.27;;;deloach1974;10.1093/aesa/67.3.340;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous females;CABI
Myzus persicae;Hemiptera;Aphididae;25;0.277;;;deloach1974;10.1093/aesa/67.3.341;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous females;CABI
Myzus persicae;Hemiptera;Aphididae;30;-0.119;;;deloach1974;10.1093/aesa/67.3.342;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous females;CABI
Hyadaphis pseudobrassicae;Hemiptera;Aphididae;5;-0.051;;;deloach1974;10.1093/aesa/67.3.343;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous;influentialpoints
Hyadaphis pseudobrassicae;Hemiptera;Aphididae;10;0.067;;;deloach1974;10.1093/aesa/67.3.344;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous;influentialpoints
Hyadaphis pseudobrassicae;Hemiptera;Aphididae;15;0.159;;;deloach1974;10.1093/aesa/67.3.345;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous;influentialpoints
Hyadaphis pseudobrassicae;Hemiptera;Aphididae;20;0.31;;;deloach1974;10.1093/aesa/67.3.346;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous;influentialpoints
Hyadaphis pseudobrassicae;Hemiptera;Aphididae;25;0.372;;;deloach1974;10.1093/aesa/67.3.347;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous;influentialpoints
Hyadaphis pseudobrassicae;Hemiptera;Aphididae;30;0.207;;;deloach1974;10.1093/aesa/67.3.348;;;sucker;frazier2006;38.93294131;-92.34060252;2.1;apterous;influentialpoints
Hyperaspis notata;Coleoptera;Coccinellidae;18;0.0174;0.001142857;30;dreyer1997;10.1046/j.1570-7458.1997.00201.x;;;predator;frazier2006;-23.43286796;-55.0109578;3;adults;
Hyperaspis notata;Coleoptera;Coccinellidae;18;0.0156;0.001;28;dreyer1997;10.1046/j.1570-7458.1997.00201.x;;;predator;frazier2006;3.701075441;-76.57163892;3;adults;
Hyperaspis notata;Coleoptera;Coccinellidae;20;0.0639;0.001142857;31;dreyer1997;10.1046/j.1570-7458.1997.00201.x;;;predator;frazier2006;-23.43286796;-55.0109578;3;adults;
